And we're going to tell you some stories from the sea here in video.	Wir werden Ihnen einige Geschichten über das Meer in Videoform erzählen .
They enable their teachers to make innovations in pedagogy.	So können Lehrer Innovationen in der Pädagogik vorantreiben .
They provide them with the kind of development they need to develop stronger pedagogical practices.	Sie haben somit die richtigen Voraussetzungen , um stärkere pädagogische Methoden zu entwickeln .
The goal of the past was standardization and compliance.	Früher ging es um Standardisierung und Einhaltung von Vorschriften .
High-performing systems have made teachers and school principals inventive.	In guten Schulsystemen sind Lehrer und Rektoren erfinderisch geworden .
In the past, the policy focus was on outcomes, on provision.	Früher ging es um Ergebnisse , um die eigene Versorgung .
The high-performing systems have helped teachers and school principals to look outwards to the next teacher, the next school around their lives.	In guten Schulsystemen können sich Lehrer und Rektoren nach neuen Lehrern und anderen Schulen umsehen .
And the most impressive outcomes of world-class systems is that they achieve high performance across the entire system.	Das beeindruckendste Ergebnis von erstklassigen Systemen ist , dass diese hohe Leistung für das gesamte System gilt .
You've seen Finland doing so well on PISA, but what makes Finland so impressive is that only five percent of the performance variation amongst students lies between schools.	Finnland schnitt bei der PISA-Studie sehr gut ab . Aber das Beeindruckendste an Finnland ist , dass nur 5 % der Leistungsunterschiede zwischen Schülern auf verschiedene Schulen zurückzuführen sind .
Every school succeeds.	Jede Schule ist erfolgreich .
This is where success is systemic.	Hier ist der Erfolg im System inbegriffen .
And how do they do that?	Wie wird das erreicht ?
They invest resources where they can make the most difference.	Ressourcen gelangen dorthin , wo sie die größte Wirkung haben .
They attract the strongest principals into the toughest schools, and the most talented teachers into the most challenging classroom.	Die besten Rektoren werden für die schwächsten Schulen gewonnen und die begabtesten Lehrer stehen in den herausforderndsten Klassen .
Last but not least, those countries align policies across all areas of public policy.	Und diese Länder gleichen ihre Vorgaben in allen Bereichen der öffentlichen Politik an .
They make them coherent over sustained periods of time, and they ensure that what they do is consistently implemented.	Sie sind über anhaltende Zeiträume hinweg kohärent und werden konsequent umgesetzt .
Now, knowing what successful systems are doing doesn't yet tell us how to improve.	Obwohl wir die Grundlagen erfolgreicher Systeme kennen , wissen wir noch nicht , wie wir uns verbessern .
That's also clear, and that's where some of the limits of international comparisons of PISA are.	Das ist klar und darin liegen einige der Grenzen des internationalen PISA-Vergleiches .
That's where other forms of research need to kick in, and that's also why PISA doesn't venture into telling countries what they should be doing.	Hier sind neue Forschungsansätze gefragt und dies ist der Grund , warum PISA den Ländern keine Vorschriften macht .
But its strength lies in telling them what everybody else has been doing.	Die Stärke liegt in der Mitteilung darüber , was andere Länder unternommen haben .
And the example of PISA shows that data can be more powerful than administrative control of financial subsidy through which we usually run education systems.	Und am Beispiel von PISA wird deutlich , dass Daten einflussreicher sein können als die administrative Kontrolle der Gelder , wie sie für Bildungssysteme in der Regel entscheidend sind .
You know, some people argue that changing educational administration is like moving graveyards.	Manche Leute behaupten , dass die Veränderung der Bildungsverwaltung dem Verlegen eines Friedhofs ähnelt .
You just can't rely on the people out there to help you with this.	Man kann dabei nicht auf die Leute da draußen zählen .
But PISA has shown what's possible in education.	Aber PISA zeigt die Möglichkeiten in der Bildung auf .
It has helped countries to see that improvement is possible.	Länder sehen nun , dass Verbesserungen möglich sind .
It has taken away excuses from those who are complacent.	Selbstgefällige Systeme haben keine Ausreden mehr .
And it has helped countries to set meaningful targets in terms of measurable goals achieved by the world's leaders.	Und Länder können sinnvolle Ziele setzen und sich an den messbaren Zielen der besten Systeme weltweit orientieren .
If we can help every child, every teacher, every school, every principal, every parent see what improvement is possible, that only the sky is the limit to education improvement, we have laid the foundations for better policies and better lives.	Wenn wir jedem Kind , Lehrer , Rektor , Elternteil und jeder Schule zeigen können , dass Verbesserungen möglich sind , dass der Verbesserung in der Bildung keine Grenzen gesetzt sind , haben wir den Grundstein für bessere Vorgaben und ein besseres Leben gelegt .
Thank you.	Vielen Dank .
I'd like to talk to you today about the scale of the scientific effort that goes into making the headlines you see in the paper.	Heute möchte ich mit Ihnen über das Ausmaß der wissenschaftlichen Anstrengungen sprechen , welches in die Erstellung der Schlagzeilen geht , die man in der Zeitung sieht .
Headlines that look like this when they have to do with climate change, and headlines that look like this when they have to do with air quality or smog.	Schlagzeilen , die aussehen wie diese , wenn sie mit dem Klimawandel zu tun haben und Schlagzeilen , die aussehen wie diese wenn sie mit Luftqualität und Smog zu tun haben .
They are both two branches of the same field of atmospheric science.	Sie sind beide Arten des selben Felds von atmosphärischen Wissenschaften .
Recently the headlines looked like this when the Intergovernmental Panel on Climate Change, or IPCC, put out their report on the state of understanding of the atmospheric system.	In letzter Zeit sahen die Schlagzeilen so aus , wenn das multiregierungs-Panel für Klimawandel , oder IPCC , ihren Bericht über die Lage des Verständnisses des atmosphärischen Systems veröffentlichte .
That report was written by 620 scientists from 40 countries.	Dieser Bericht wurde von 620 Wissenschaftlern aus 40 Ländern geschrieben .
They wrote almost a thousand pages on the topic.	Sie schrieben fast tausend Seiten über das Thema .
And all of those pages were reviewed by another 400-plus scientists and reviewers, from 113 countries.	Und all diese Seiten wurden von weiteren mehr als 400 Wissenschaftlern und Gutachtern aus 113 Ländern korrigiert .
Over 15,000 scientists go to San Francisco every year for that.	Über 15 .000 Wissenschaftler kommen dafür jedes Jahr nach San Francisco .
And every one of those scientists is in a research group, and every research group studies a wide variety of topics.	Und jeder von diesen Wissenschaftlern ist in einer Forschungsgruppe , und jede Forschungsgruppe befasst sich mit einer Vielzahl von Themen .
For us at Cambridge, it's as varied as the El Niño oscillation, which affects weather and climate, to the assimilation of satellite data, to emissions from crops that produce biofuels, which is what I happen to study.	Für uns in Cambridge ist das so vielfältig wie das El Niño Phänomen , welches das Wetter und Klima beeinflusst , oder die Anpassung von Satellitendaten , bis hin zu Emissionen durch Saaten die Biokraftstoffe produzieren , was ich zufällig studiere .
And in each one of these research areas, of which there are even more, there are PhD students, like me, and we study incredibly narrow topics, things as narrow as a few processes or a few molecules.	Und in jedem von diesen Forschungsgebieten , von denen es noch viel mehr gibt , gibt es Doktoranden , wie mich , und wir studieren unglaublich fokussierte Themen , Sachen so fokussiert wie ein paar einzelne Prozesse oder ein paar Moleküle .
The weight of a paper clip is approximately equal to 900 zeta-illion -- 10 to the 21st -- molecules of isoprene.	Das Gewicht einer Papierklammer ist ungefähr das gleiche wie 900 zeta-illionen -- 10 bis zum 21 . -- Moleküle von Isopren .
But despite its very small weight, enough of it is emitted into the atmosphere every year to equal the weight of all the people on the planet.	Aber abseits seines kleinen Gewichts , wird genug von ihm jedes Jahr in die Atmosphäre entlassen um das Gewicht aller Menschen auf dem Planeten aufzuwiegen .
And because it's so much stuff, it's really important for the atmospheric system.	Und weil es soviel davon ist , ist es wirklich wichtig für das atmosphärische System .
Because it's important to the atmospheric system, we go to all lengths to study this thing.	Weil es wichtig für das atmosphärische System ist , versuchen wir alles um das Ding zu studieren .
We blow it up and look at the pieces.	Wir blasen es auf und gucken uns die Teile an .
This is the EUPHORE Smog Chamber in Spain.	Das ist die EUPHORE Smog Kammer in Spanien .
Atmospheric explosions, or full combustion, takes about 15,000 times longer than what happens in your car.	Atmosphärische Explosionen oder komplette Verbrennung dauert ungefähr 15 .000 mal länger als was in Ihrem Auto passiert .
But still, we look at the pieces.	Aber trotzdem sehen wir uns die Teile an .
We run enormous models on supercomputers; this is what I happen to do.	Wir lassen auf Supercomputern riesige Modelle laufen; das ist zufällig , was ich mache .
Our models have hundreds of thousands of grid boxes calculating hundreds of variables each, on minute timescales.	Unsere Modelle haben hunderttausende von Rasterboxen , welche jede in Minutenabständen hunderte von Variablen errechnen .
And it takes weeks to perform our integrations.	Und es dauert Wochen um unsere Integrationen zu vervollständigen .
And we perform dozens of integrations in order to understand what's happening.	Und wir machen Dutzende von Integrationen um zu verstehen was vor sich geht .
We also fly all over the world looking for this thing.	Ausserdem fliegen wir über die ganze Welt und suchen nach dem Ding .
We found a global atmospheric watchtower there, in the middle of the rainforest, and hung hundreds of thousands of dollars worth of scientific equipment off this tower, to look for isoprene, and of course, other things while we were there.	Wir fanden einen globalen , atmosphärischen Wachturm dort in der Mitte des Regenwaldes und hingen wissenschaftliche Geräte im Wert von mehreren hunderttausend Dollar von dem Turm , um nach Isopren zu suchen , und natürlich nach anderen Dingen , wenn wir schon mal da wären .
This is the tower in the middle of the rainforest, from above.	Dies ist der Turm inmitten des Regenwaldes , von oben .
And this is the tower from below.	Und dies ist der Turm von unten .
And on part of that field campaign we even brought an aircraft with us.	Und auf Teilen des Feldzuges hatten wir sogar ein Flugzeug dabei .
And this plane, the model, BA146, which was run by FAAM, normally flies 120 to 130 people.	Und dieses Flugzeug , das Modell BA146 was von FAAM betrieben wurde , fliegt normalerweise mit 120 bis 130 Personen .
So maybe you took a similar aircraft to get here today.	Also haben Sie vielleicht ein ähnliches Flugzeug benutzt um heute herzukommen .
We have to fly at a special incline in order to make the measurements.	Wir mussten in einer speziellen Steigung fliegen um die Messungen durchzuführen .
We hire military and test pilots to do the maneuvering.	Wir stellen Militär- oder Testpiloten an um das Fliegen zu übernehmen .
We have to get special flight clearance.	Wir müssen dafür spezielle Luftraumklärung bekommen .
And as you come around the banks in these valleys, the forces can get up to two Gs.	Und wenn man in die Böschungen dieser Täler kommt können die G-Kräfte bis zu 2G betragen .
And the scientists have to be completely harnessed in in order to make measurements while they're on board.	Und die Wissenschaftler müssen vollständig befestigt werden , um die Messungen durchzuführen , während sie an Bord sind .
So, as you can imagine, the inside of this aircraft doesn't look like any plane you would take on vacation.	Wie Sie sich also vorstellen können sieht das Innere dieses Flugzeugs nicht wie jedes andere aus mit welchem Sie in den Urlaub fliegen würden .
It's a flying laboratory that we took to make measurements in the region of this molecule.	Es ist ein fliegendes Labor mit dem wir die Messungen in der Region dieses Moleküls durchführten .
We do all of this to understand the chemistry of one molecule.	Wir machen all dies um die Chemie eines einzelnen Moleküls zu verstehen .
And when one student like me has some sort of inclination or understanding about that molecule, they write one scientific paper on the subject.	Und wenn ein Student wie ich eine Art Neigung dazu hat oder etwas über das Molekül herausfindet , schreibt er eine wissenschaftliche Arbeit über das Thema .
And out of that field campaign we'll probably get a few dozen papers on a few dozen processes or molecules.	Und aus diesem Feldzug werden wir wahrscheinlich ein paar Dutzend Artikel über ein paar Dutzend Prozesse oder Moleküle bekommen .
And as a body of knowledge builds up, it will form one subsection, or one sub-subsection of an assessment like the IPCC, although we have others.	Und während sich das gesammelte Wissen entwickelt formt sich eine Unterklasse , oder Unterunterklasse einer Prüfung wie die der IPCC , obwohl es noch andere gibt .
And each one of the 11 chapters of the IPCC has six to ten subsections.	Und jedes dieser 11 Kapitel der IPCC hat sechs bis zehn Unterkapitel .
So you can imagine the scale of the effort.	Sie können sich also das Ausmaß dieser Anstrengungen vorstellen .
In each one of those assessments that we write, we always tag on a summary, and the summary is written for a non-scientific audience.	In jeder dieser Beurteilungen die wir schreiben , packen wir immer eine Zusammenfassung dazu , die für ein nicht-wissenschaftliches Publikum geschrieben ist .
And we hand that summary to journalists and policy makers, in order to make headlines like these.	Und diese Zusammenfassung teilen wir mit Journalisten und politischen Entscheidungsträgern , um Schlagzeilen wie diese zu machen .
Thank you very much.	Ich danke Ihnen vielmals .
You can mimic what you can see.	Sie können nachahmen , was sie sehen .
You can program the hundreds of muscles in your arm.	Sie können die hunderte von Muskeln in Ihrem Arm programmieren .
Soon, you'll be able to look inside your brain and program, control the hundreds of brain areas that you see there.	Schon bald werden Sie in ihr Gehirn sehen können , die hunderte Gehirnbereiche zu programmieren , zu steuern , die Sie dort sehen .
I'm going to tell you about that technology.	Ich werde Ihnen von dieser Methode erzählen .
People have wanted to look inside the human mind, the human brain, for thousands of years.	Leute haben schon in den menschlichen Verstand , das menschliche Gehirn schauen wollen , seit Jahrtausenden .
Well, coming out of the research labs just now, for our generation, is the possibility to do that.	Nun , entwickelt in den Versuchslaboren , hat unsere Generation genau jetzt die Möglichkeit , dies zu tun .
People envision this as being very difficult.	Leute stellen sich das sehr kompliziert vor .
You had to take a spaceship, shrink it down, inject it into the bloodstream.	Man müsse ein Raumschiff nehmen , es schrumpfen , es in den Blutkreislauf injizieren .
It was terribly dangerous.	Es wäre schrecklich gefährlich .
You could be attacked by white blood cells in the arteries.	Man könnte in den Arterien angegriffen werden von weißen Blutkörperchen .
But now, we have a real technology to do this.	Doch nun haben wir tatsächlich eine Methode , dies zu tun .
We're going to fly into my colleague Peter's brain.	Wir werden in das Gehirn meines Kollegen Peter fliegen .
We're going to do it non-invasively using MRI.	Wir werden dies ohne Eingriff machen , mittels MRI .
We will be able to fly into the anatomy of Peter's brain -- literally, fly into his body -- but more importantly, we can look into his mind.	Wir werden in der Lage sein in die Anatomie von Peters Gehirn zu fliegen -- buchstäblich in seinen Körper zu fliegen -- doch viel wichtiger: Wir können in seinen Verstand sehen .
When Peter moves his arm, that yellow spot you see there is the interface to the functioning of Peter's mind taking place.	Wenn Peter seinen Arm bewegt , ist dieser gelbe Fleck den Sie dort sehen die entsprechende Stelle zur Tätigkeit , die in Peters Verstand geschiet .
Now you've seen before that with electrodes you can control robotic arms, that brain imaging and scanners can show you the insides of brains.	Sie haben zuvor sicherlich bereits gesehen , dass man mit Elektroden Roboterarme steuern kann; dass Gehirnabbildungen und -abtaster das Innere des Gehirns darstellen können .
What's new is that that process has typically taken days or months of analysis.	Neu ist , dass dieser Vorgang üblicherweise Tage oder Monate der Analyse benötigte .
We've collapsed that through technology to milliseconds, and that allows us to let Peter to look at his brain in real time as he's inside the scanner.	Wir haben dies mittels Technik auf Millisekunden reduziert , und dies erlaubt Peter sein Gehirn live zu betrachten , während er im Abtaster ist .
He can look at these 65,000 points of activation per second.	Er kann diese 65 .000 Erregerpunkte pro Sekunde betrachten .
If he can see this pattern in his own brain, he can learn how to control it.	Wenn er dieses Raster im eigenen Gehirn sieht , kann er lernen , es zu steuern .
There have been three ways to try to impact the brain: the therapist's couch, pills and the knife.	Es gab bisher drei Möglichkeiten das Gehirn zu beeinflussen: das Sofa eines Therapeuten , Tabletten oder das Messer .
This is a fourth alternative that you are soon going to have.	Dies ist eine vierte Möglichkeit , die Sie schon bald haben werden .
We all know that as we form thoughts, they form deep channels in our minds and in our brains.	Wir alle wissen , dass wenn wir Gedanken bilden , bilden diese verborgene Wege in unserem Verstand und unserem Gehirn .
But if you're still in pain in six months' or six years' time, it's because these circuits are producing pain that's no longer helping you.	Doch wenn Sie über sechs Monate oder sechs Jahre noch immer Schmerz spüren , liegt es an Verbindungen , die Schmerz produzieren , der Ihnen nicht länger hilfreich ist .
If we can look at the activation in the brain that's producing the pain, we can form 3D models and watch in real time the brain process information, and then we can select the areas that produce the pain.	Wenn wir die Erregerpunkte im Gehirn sehen können , die den Schmerz verursachen , können wir 3D Abbilder entwerfen und live die Anzeige des Denkvorgangs betrachten , um dann die Bereiche herauslesen zu können , die den Schmerz verursachen .
So put your arms back up and flex your bicep.	Also heben Sie nochmals Ihre Arme und beugen Sie Ihren Bizeps .
Now imagine that you will soon be able to look inside your brain and select brain areas to do that same thing.	Nun stellen Sie sich vor , Sie können bald in Ihren Verstand sehen und Gehirnbereiche herauslesen , die genau diese Sache ausführen .
What you're seeing here is, we've selected the pathways in the brain of a chronic pain patient.	Was Sie hier sehen: Wir haben die Gehirnbahnen eines chronischen Schmerzpatienten markiert .
This may shock you, but we're literally reading this person's brain in real time.	Das mag Sie erschüttern , doch wir lesen im wahrsten Sinne des Wortes live den Verstand dieser Person .
They're watching their own brain activation, and they're controlling the pathway that produces their pain.	Sie beobachten ihre eigene Gehirnregung und sie programmieren die Gehirnbahn , die ihren Schmerz verursacht .
They're learning to flex this system that releases their own endogenous opiates.	Sie lernen den Ablauf zu beugen , der ihre eigenen endogenen Opiate freisetzt .
As they do it, in the upper left is a display that's yoked to their brain activation of their own pain being controlled.	Während sie dies machen , ist oben links eine Anzeige , die verbunden ist mit den Gehirnregungen , die ihren eigenen Schmerz regeln .
When they control their brain, they can control their pain.	Wenn sie ihren Verstand regeln , können sie ihren Schmerz regeln .
This is an investigational technology, but, in clinical trials, we're seeing a 44 to 64 percent decrease in chronic pain patients.	Dies ist eine experimentelle Methode , doch in klinischen Untersuchungen sehen wir eine 44 bis 64 prozentige Abnahme von chronischen Schmerzpatienten .
When you do, what do you want to control?	Wenn Sie dies machen , was werden Sie kontrollieren wollen ?
You will be able to look at all the aspects that make you yourself, all your experiences.	Sie werden in der Lage sein , alle Erscheinungen zu betrachten , die Sie ausmachen; alle Ihre Erfahrungen .
These are some of the areas we're working on today that I don't have time to go into in detail.	Dieses sind einige der Bereiche , an denen wir heute arbeiten , zu denen ich die Zeit nicht habe , auf Details einzugehen .
But I want to leave with you the big question.	Doch ich möchte Ihnen die große Frage überlassen .
We are the first generation that's going to be able to enter into, using this technology, the human mind and brain.	Wir sind die erste Generation , die in der Lage sein wird , einzusteigen – - mittels dieser Methode - in Verstand und Gehirn des Menschen .
Where will we take it?	Wohin werden wir es bringen ?
Evidence suggests that humans in all ages and from all cultures create their identity in some kind of narrative form.	Die Anzeichen sprechen dafür , dass Menschen jeden Alters und aus allen Kulturen ihre Identität in einer Art narrativer Form schaffen .
From mother to daughter, preacher to congregant, teacher to pupil, storyteller to audience.	Von Mutter zu Tochter , Priester zu Gemeindemitglied , Lehrer zu Schüler , Erzähler zum Publikum .
Whether in cave paintings or the latest uses of the Internet, human beings have always told their histories and truths through parable and fable.	Ob in Höhlenmalereien oder mit den Möglichkeiten des Internets , haben Menschen immer ihre Geschichten und Wahrheiten durch Parabeln und Fabeln erzählt .
We are inveterate storytellers.	Wir sind chronische Geschichtenerzähler .
But where, in our increasingly secular and fragmented world, do we offer communality of experience, unmediated by our own furious consumerism?	Aber wo in unserer immer zunehmend säkularisierten und zerstückelten Welt bieten wir eine Gemeinschaftlichkeit der Erfahrung , die unbeeinflusst von unserem wilden Konsumdenken ist ?
And what narrative, what history, what identity, what moral code are we imparting to our young?	Welche Erzählung , welche Geschichte , welche Identität , welchen moralischen Code geben wir an unsere Kinder weiter ?
Cinema is arguably the 20th century's most influential art form.	Das Kino ist wohl die einflussreichste Kunstform des 20 . Jahrhunderts .
Its artists told stories across national boundaries, in as many languages, genres and philosophies as one can imagine.	Seine Künstler erzählten Geschichten über Ländergrenzen hinweg in so vielen Sprachen , Genres und Philosophien , wie man sich nur vorstellen kann .
Indeed, it is hard to find a subject that film has yet to tackle.	Es ist in der Tat schwer ein Thema zu finden , dessen sich noch kein Film angenommen hat .
During the last decade we've seen a vast integration of global media, now dominated by a culture of the Hollywood blockbuster.	Während des letzten Jahrzehnts haben wir eine enorme Verflechtung globaler Medien gesehen , die nun von der Kultur der Hollywood-Blockbuster dominiert werden .
We are increasingly offered a diet in which sensation, not story, is king.	Wir bekommen zunehmend eine Diät vorgesetzt , in der der Sinneseindruck , nicht die Geschichte , dominiert .
What was common to us all 40 years ago -- the telling of stories between generations -- is now rarified.	Was für uns alle vor 40 Jahren normal war – das Erzählen von Geschichten zwischen Generationen – ist nun selten .
As a filmmaker, it worried me.	Als Filmproduzentin machte mir das Sorgen .
As a human being, it puts the fear of God in me.	Als menschliches Wesen versetzt es mich in Angst und Schrecken .
What future could the young build with so little grasp of where they've come from and so few narratives of what's possible?	Welche Zukunft können unsere Kinder aufbauen mit so wenig Verständnis woher sie kommen und so wenigen Geschichten über das was möglich ist ?
The irony is palpable; technical access has never been greater, cultural access never weaker.	Die Ironie ist fühlbar; der Zugang zu Technik war nie größer , der Zugang zu Kultur nie schwächer .
And so in 2006 we set up FILMCLUB, an organization that ran weekly film screenings in schools followed by discussions.	Und deshalb gründeten wir 2006 FILMCLUB , eine Organisation , die wöchentlich Filme in Schulen vorführte und anschließend diskutierte .
If we could raid the annals of 100 years of film, maybe we could build a narrative that would deliver meaning to the fragmented and restless world of the young.	Mit dem Filmarchiv der letzten 100 Jahre könnten wir vielleicht eine Geschichte schaffen , die der zerstückelten und unruhigen Welt der Jugend Sinn geben würde .
Given the access to technology, even a school in a tiny rural hamlet could project a DVD onto a white board.	Durch Zugang zu Technologie könnte sogar eine Schule in einem bäuerlichen Dorf eine DVD auf eine Leinwand projizieren .
In the first nine months we ran 25 clubs across the U.K., with kids in age groups between five and 18 watching a film uninterrupted for 90 minutes.	In den ersten neun Monaten betrieben wir 25 Vereine in Großbritannien , in denen Kinder zwischen 5 und 18 für 90 Minuten ununterbrochen einen Film schauen .
The films were curated and contextualized.	Die Filme waren kuratiert und kontextualisiert .
But the choice was theirs, and our audience quickly grew to choose the richest and most varied diet that we could provide.	Aber die Wahl war die ihre , und unser Publikum mauserte sich schnell zu Wählern der ergiebigsten und abwechslungsreichsten Kost , die wir anbieten konnten .
The outcome, immediate.	Das Ergebnis kam sofort .
It was an education of the most profound and transformative kind.	Es war Bildung der tiefgreifendsten und formenden Art .
In groups as large as 150 and as small as three, these young people discovered new places, new thoughts, new perspectives.	In Gruppen so groß wie 150 und so klein wie drei entdeckten diese jungen Menschen neue Orte , neue Gedanken , neue Perspektiven .
By the time the pilot had finished, we had the names of a thousand schools that wished to join.	Als der Pilotversuch beendet war , hatten wir die Namen von tausend Schulen , die beitreten wollten .
The film that changed my life is a 1951 film by Vittorio De Sica, "Miracle in Milan."	Der Film , der mein Leben verändert hat , ist ein Film aus dem Jahr 1951 von Vittorio De Sica , "Das Wunder von Mailand" .
It's a remarkable comment on slums, poverty and aspiration.	Er ist ein bemerkenswerter Kommentar zu Slums , Armut und Hoffnung .
I had seen the film on the occasion of my father's 50th birthday.	Ich hatte den Film zum 50 . Geburtstag meines Vaters gesehen .
Technology then meant we had to hire a viewing cinema, find and pay for the print and the projectionist.	Damals mussten wir dazu einen Kinosaal mieten , den Film finden und die Entwicklung und den Vorführer bezahlen .
But for my father, the emotional and artistic importance of De Sica's vision was so great that he chose to celebrate his half-century with his three teenage children and 30 of their friends, "In order," he said, "to pass the baton of concern and hope on to the next generation."	Aber für meinen Vater war die emotionale und künstlerische Bedeutung von De Sicas Vision so groß , dass er beschloss , seinen 50 . Geburtstag mit seinen drei Kindern im Teenageralter und 30 ihrer Freunde zu feiern . "Um" , sagte er , "die Verantwortung über Sorgen und Hoffnung an die nächste Generation weiterzugeben ."
In the last shot of "Miracle in Milan," slum-dwellers float skyward on flying brooms.	In der letzten Einstellung von "Das Wunder von Mailand" schweben Slumbewohner auf fliegenden Besen gen Himmel .
Sixty years after the film was made and 30 years after I first saw it, I see young faces tilt up in awe, their incredulity matching mine.	Sechzig Jahre nach der Produktion des Films und 30 Jahre , nachdem ich ihn zum ersten Mal sah , sehe ich junge Gesichter , die sich in Ehrfurcht neigen . Ihre Ungläubigkeit entspricht meiner .
And the speed with which they associate it with "Slumdog Millionaire" or the favelas in Rio speaks to the enduring nature.	Und die Geschwindigkeit , mit der sie ihn "Slumdog Millionaire" oder den Favelas in Rio zuordnen , spricht von der nachhaltigen Art .
Made in 1939, the film is older than most of our members' grandparents.	Gedreht im Jahr 1939 , ist der Film älter als die meisten Großeltern unserer Mitglieder .
Frank Capra's classic values independence and propriety.	Frank Capras Klassiker schätzt Unabhängigkeit und Anstand .
It shows how to do right, how to be heroically awkward.	Er zeigt , wie man Gutes tut , wie man heldenhaft unangenehm sein kann .
It is also an expression of faith in the political machine as a force of honor.	Er ist auch Ausdruck des Glaubens in die politische Maschine als eine Kraft der Ehre .
And it was with great delight that we found young people up and down the country explaining with authority what filibustering was and why the Lords might defy their bedtime on a point of principle.	Und es war eine große Freude , dass wir junge Menschen im ganzen Land fanden , die mit Kompetenz erklärten , was Filibustiererei ist und warum die Lords für ein Prinzip ihren Schlaf vernachlässigten .
After all, Jimmy Stewart filibustered for two entire reels.	Immerhin erstreckte sich Jimmy Stewarts Ermüdungsrede über zwei ganze Filmrollen .
In choosing "Hotel Rwanda," they explored genocide of the most brutal kind.	Durch die Auswahl von "Hotel Ruanda" erforschten sie Völkermord der brutalsten Art .
It provoked tears as well as incisive questions about unarmed peace-keeping forces and the double-dealing of a Western society that picks its moral fights with commodities in mind.	Er provozierte Tränen als auch prägnante Fragen über unbewaffnete Friedenstruppen und die Doppelzüngigkeit einer westlichen Gesellschaft , die ihre moralischen Kämpfe wegen Ressourcen eingeht .
And when "Schindler's List" demanded that they never forget, one child, full of the pain of consciousness, remarked, "We already forgot, otherwise how did 'Hotel Rwanda' happen?"	Und als "Schindlers Liste" verlangte , dass sie nie vergessen sollen , bemerkte ein Kind voller Gewissensbisse: "Wir haben schon vergessen , wie hätte sonst 'Hotel Ruanda' passieren können ?"
As they watch more films their lives got palpably richer.	Als sie mehr Filme sahen , wurde ihr Leben spürbar reicher .
They celebrated a change in attitude towards non-white Britons, but railed against our restless school system that does not value collective identity, unlike that offered by Sidney Poitier's careful tutelage.	Sie feierten eine Änderung der Haltung gegenüber nicht-weißen Briten , aber schimpften über unser unausgeglichenes Schulsystem , das kollektive Identität nicht wertschätzt , im Gegensatz zu dem unter den Fittichen von Sidney Poitier .
By now, these thoughtful, opinionated, curious young people thought nothing of tackling films of all forms -- black and white, subtitled, documentary, non-narrative, fantasy -- and thought nothing of writing detailed reviews that competed to favor one film over another in passionate and increasingly sophisticated prose.	Diese jungen . nachdenklichen , eigensinnigen und neugierigen Menschen stellen sich jetzt jeder Art von Film – schwarz-weiß , mit Untertiteln , Dokumentarfilme , nicht-narrativ , Fantasy – und schreiben anstandslos detaillierte Rezensionen , die sich beim Lobpreisen der Filme in leidenschaftlicher immer raffinierterer Prosa gegenseitig übertreffen .
Six thousand reviews each school week vying for the honor of being review of the week.	Sechstausend Rezensionen wetteifern wöchentlich um die Ehre , Rezension der Woche zu werden .
From 25 clubs, we became hundreds, then thousands, until we were nearly a quarter of a million kids in 7,000 clubs right across the country.	Aus 25 Vereinen wurden Hunderte , dann Tausende , bis wir fast eine Viertelmillion Kinder in 7 000 Vereinen aus dem ganzen Land waren .
And although the numbers were, and continue to be, extraordinary, what became more extraordinary was how the experience of critical and curious questioning translated into life.	Obwohl die Zahlen außergewöhnlich waren und es weiterhin sind , noch außergewöhnlicher wurde die Übertragung der Erfahrung des kritischen und neugierigen Fragens in den Alltag .
Some of our kids started talking with their parents, others with their teachers, or with their friends.	Einige unserer Kinder begannen mit ihren Eltern zu reden , andere mit ihren Lehrern oder mit ihren Freunden .
And those without friends started making them.	Und die ohne Freunde fingen an , welche zu finden .
The films provided communality across all manner of divide.	Die Filme lieferten Gemeinschaftlichkeit über alle Kluften .
And the stories they held provided a shared experience.	Und die enthaltenen Geschichten lieferten eine gemeinsame Erfahrung .
Who was right, who wrong?	Wer hatte Recht , wer Unrecht ?
What would they do under the same conditions?	Was würden sie unter den gleichen Bedingungen tun ?
Was the tale told well?	War die Geschichte gut erzählt ?
Was there a hidden message?	Gab es eine versteckte Botschaft ?
A tsunami of questions flew out of the mouths of children who the world didn't think were interested.	Eine Flut von Fragen entströmte den Mündern der Kinder , die die Welt bisher für uninteressiert gehalten hatte .
And they themselves had not known they cared.	Sie selbst waren sich ihres Interesses nicht bewusst gewesen .
And as they wrote and debated, rather than seeing the films as artifacts, they began to see themselves.	Und wie sie so schrieben und diskutierten , begannen sie , anstatt die Filme als Objekte zu sehen , sich selbst zu sehen .
I have an aunt who is a wonderful storyteller.	Meine Tante ist eine wunderbare Geschichtenerzählerin .
In a moment she can invoke images of running barefoot on Table Mountain and playing cops and robbers.	Sie kann blitzschnell Bilder erschaffen , wie wir barfuß auf den Tafelberg rennend Räuber und Gendarm spielen .
Quite recently she told me that in 1948, two of her sisters and my father traveled on a boat to Israel without my grandparents.	Vor kurzem erzählte sie mir , dass im Jahre 1948 zwei ihrer Schwestern und mein Vater ohne meine Großeltern auf einem Boot nach Israel reisten .
